;Libellé commune ou ARM;Région;Département;Hypermarché;Supermarché;Grande surface de bricolage;Supérette;Epicerie;Boulangerie;Boucherie charcuterie;Produits surgelés;Poissonnerie;Librairie papeterie journaux;Magasin de vêtements;Magasin d'équipements du foyer;Magasin de chaussures;Magasin d'électroménager et de matériel audio-vidéo;Magasin de meubles;Magasin d'articles de sports et de loisirs;Magasin de revêtements murs et sols;Droguerie quincaillerie bricolage;Parfumerie - Cosmétique;Horlogerie Bijouterie;Fleuriste - Jardinerie - Animalerie;Magasin d'optique;Magasin de matériel médical et orthopédique;Station service
0;LIBGEO;REG;DEP;NB_B101;NB_B102;NB_B103;NB_B201;NB_B202;NB_B203;NB_B204;NB_B205;NB_B206;NB_B301;NB_B302;NB_B303;NB_B304;NB_B305;NB_B306;NB_B307;NB_B308;NB_B309;NB_B310;NB_B311;NB_B312;NB_B313;NB_B315;NB_B316
1728;Valdoule;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1729;Buissard;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1730;Ceillac;93;05;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
1731;Cervières;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1732;Chabestan;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1733;Chabottes;93;05;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1
1734;Champcella;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1735;Champoléon;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1736;Chanousse;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1737;Châteauneuf-d'Oze;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1738;Châteauroux-les-Alpes;93;05;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1739;Châteauvieux;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
1740;Château-Ville-Vieille;93;05;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1741;Aubessagne;93;05;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1742;Chorges;93;05;0;1;0;0;1;4;1;0;0;0;1;1;1;0;2;4;0;0;0;0;1;1;0;2
1743;Crévoux;93;05;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1744;Crots;93;05;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
1745;Embrun;93;05;0;3;0;2;1;7;6;0;1;6;8;2;3;1;3;5;1;1;0;2;3;2;3;2
1746;Éourres;93;05;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1747;L'Épine;93;05;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1748;Esparron;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1749;Espinasses;93;05;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1750;Étoile-Saint-Cyrice;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1751;Eygliers;93;05;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
1752;Garde-Colombe;93;05;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1753;La Fare-en-Champsaur;93;05;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1754;La Faurie;93;05;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1755;Forest-Saint-Julien;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1756;Fouillouse;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1757;Freissinières;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1758;La Freissinouse;93;05;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1759;Furmeyer;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1760;Gap;93;05;2;10;4;0;10;32;13;3;1;14;72;19;22;6;14;29;0;5;16;13;16;16;12;7
1761;Le Glaizil;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1762;La Grave;93;05;0;0;0;1;3;2;0;0;0;1;1;0;0;0;0;6;0;0;0;0;0;0;0;0
1763;La Chapelle-en-Valgaudémar;93;05;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
